Machine_speed,Machine_state,M12_ENZYME_FLOW,M12_STABILIZER_FLOW,M12_TEMPERATURE,M12_WATER_NR,M12_WETTING_AGENT_FLOW,M18_TEMPERATURE,M19_RESERVE_NR,M19_STABILIZER_FLOW,M19_TEMPERATURE,M19_WETTING_AGENT_FLOW
46.97333527,0,2.499970055,2.066772819,54.55952759,949946,2.991859245,98.68535461,10730.5,1.525073767,56.87128906,2.15718919
46.97333527,0,2.497196198,2.101614436,54.96286087,949984.6667,2.992938089,98.72788391,10731,1.508612394,56.8783371,2.152421991
46.97333527,0,2.499791821,2.113061269,54.7964522,950017.6667,2.99601988,98.70032247,10732,1.514142791,56.90577761,2.108552496
46.97333527,0,2.499559244,2.129735549,54.73128319,950052.8,2.99628067,98.63950857,10732.4,1.488390374,56.96835963,2.086052465
46.97333527,0,2.500058413,2.09385438,54.8445137,950088.5,2.988234997,98.52123108,10733,1.509662469,57.01148453,2.090726455
46.97333527,0,2.501299659,2.13492926,54.71909777,950120,2.99190859,98.39152273,10734,1.516884029,57.06553268,2.095202446
46.97333527,0,2.500377774,2.0829584,54.99321493,950159.4,2.999112089,98.26220067,10734.4,1.492384652,57.11624336,2.094006379
46.97333527,0,2.499837065,1.839825463,54.78896179,950182,2.992971087,98.1986969,10735,1.505332971,57.24676514,2.104141426
46.97333527,0,2.499645948,1.957902431,55.08486811,950223,2.99882253,98.072553,10736,1.511921446,57.20507749,2.110120058
46.97333527,0,2.498414596,2.121513009,55.05607541,950257.8333,2.989491185,97.94445546,10736.5,1.476032436,57.24596405,2.104825775
46.97333527,0,2.501087236,2.144036293,54.92136701,950294.6,3.00071249,97.89322917,10737,1.494566107,57.26546733,2.102200556
46.97333527,0,2.500820239,2.131904403,55.09008484,950323.8333,2.994221528,97.8511795,10738,1.509873033,57.22943878,2.095867793
46.97333527,0,2.500955383,2.050780574,54.95445951,950348,2.99621745,97.86083221,10738.5,1.509911875,57.23046621,2.096748551
46.97333527,0,2.50005885,2.034195205,55.53317897,950350,2.996921738,97.85857773,10739.16667,1.492092927,57.18577385,2.082503716
46.97333527,0,2.499557066,1.930385685,56.1498909,950350,2.987865019,97.84513474,10740,1.503186107,57.28013077,2.078534412
46.97333527,0,2.499599894,1.828022897,56.17852707,950369,2.999378085,97.88194122,10740.5,1.513589263,57.29004542,2.076568723
46.97333527,0,2.501224478,1.930594603,55.51839256,950386.1667,2.994315624,97.87841543,10741.16667,1.492357492,57.3227342,1.938653111
46.97333527,0,2.501142025,2.118722836,54.75023397,950405,2.991011461,97.93954722,10742,1.490614414,57.33329201,1.580917907
46.97333527,0,2.490962315,1.983306122,54.41988983,950428.8333,2.979773808,97.98676758,10742.5,1.507095794,57.42707062,2.080678443
46.97333527,0,2.487121463,2.055371225,54.14457258,950449.1667,2.988480171,97.99171829,10743,1.511951149,57.46358426,2.098906398
